Time (CET),Day-ahead Total Load Forecast [MW] - Netherlands (NL),Actual Total Load [MW] - Netherlands (NL)
05.01.2018 18:45 - 05.01.2018 19:00,16992,16445
05.01.2018 19:00 - 05.01.2018 19:15,16842,16213
05.01.2018 19:15 - 05.01.2018 19:30,16700,16057
05.01.2018 19:30 - 05.01.2018 19:45,16483,15861
05.01.2018 19:45 - 05.01.2018 20:00,16247,15738
05.01.2018 20:00 - 05.01.2018 20:15,16075,15467
05.01.2018 20:15 - 05.01.2018 20:30,15877,15246
05.01.2018 20:30 - 05.01.2018 20:45,15605,15047
05.01.2018 20:45 - 05.01.2018 21:00,15354,14841
05.01.2018 21:00 - 05.01.2018 21:15,15143,14518
05.01.2018 21:15 - 05.01.2018 21:30,14861,14301
05.01.2018 21:30 - 05.01.2018 21:45,14496,14035
05.01.2018 21:45 - 05.01.2018 22:00,14311,13853
05.01.2018 22:00 - 05.01.2018 22:15,14034,13544
05.01.2018 22:15 - 05.01.2018 22:30,13740,13360
05.01.2018 22:30 - 05.01.2018 22:45,13490,13158
05.01.2018 22:45 - 05.01.2018 23:00,13196,12915
05.01.2018 23:00 - 05.01.2018 23:15,13022,12785
05.01.2018 23:15 - 05.01.2018 23:30,12905,12582
05.01.2018 23:30 - 05.01.2018 23:45,12642,12384
05.01.2018 23:45 - 06.01.2018 00:00,12329,12141
06.01.2018 00:00 - 06.01.2018 00:15,12627,11974
06.01.2018 00:15 - 06.01.2018 00:30,12622,11865
06.01.2018 00:30 - 06.01.2018 00:45,12543,11715
06.01.2018 00:45 - 06.01.2018 01:00,12318,11513
06.01.2018 01:00 - 06.01.2018 01:15,12115,11312
06.01.2018 01:15 - 06.01.2018 01:30,11895,11217
06.01.2018 01:30 - 06.01.2018 01:45,11739,11074
06.01.2018 01:45 - 06.01.2018 02:00,11511,10939
06.01.2018 02:00 - 06.01.2018 02:15,11368,10891
06.01.2018 02:15 - 06.01.2018 02:30,11315,10736
06.01.2018 02:30 - 06.01.2018 02:45,11342,10709
06.01.2018 02:45 - 06.01.2018 03:00,11291,10636
06.01.2018 03:00 - 06.01.2018 03:15,11211,10581
06.01.2018 03:15 - 06.01.2018 03:30,11133,10540
06.01.2018 03:30 - 06.01.2018 03:45,11049,10496
06.01.2018 03:45 - 06.01.2018 04:00,10989,10461
06.01.2018 04:00 - 06.01.2018 04:15,10964,10455
06.01.2018 04:15 - 06.01.2018 04:30,10963,10428
06.01.2018 04:30 - 06.01.2018 04:45,10990,10487
06.01.2018 04:45 - 06.01.2018 05:00,11015,10488
06.01.2018 05:00 - 06.01.2018 05:15,11040,10528
06.01.2018 05:15 - 06.01.2018 05:30,11095,10588
06.01.2018 05:30 - 06.01.2018 05:45,11151,10640
06.01.2018 05:45 - 06.01.2018 06:00,11177,10721
06.01.2018 06:00 - 06.01.2018 06:15,11259,10932
06.01.2018 06:15 - 06.01.2018 06:30,11472,11107
06.01.2018 06:30 - 06.01.2018 06:45,11649,11278
06.01.2018 06:45 - 06.01.2018 07:00,11822,11466
06.01.2018 07:00 - 06.01.2018 07:15,12027,11730
06.01.2018 07:15 - 06.01.2018 07:30,12355,12087
06.01.2018 07:30 - 06.01.2018 07:45,12673,12349
06.01.2018 07:45 - 06.01.2018 08:00,12922,12540
06.01.2018 08:00 - 06.01.2018 08:15,13167,12852
06.01.2018 08:15 - 06.01.2018 08:30,13436,13204
06.01.2018 08:30 - 06.01.2018 08:45,13894,13361
06.01.2018 08:45 - 06.01.2018 09:00,14103,13584
06.01.2018 09:00 - 06.01.2018 09:15,14426,13815
06.01.2018 09:15 - 06.01.2018 09:30,14748,13975
06.01.2018 09:30 - 06.01.2018 09:45,14991,14197
06.01.2018 09:45 - 06.01.2018 10:00,15229,14382
06.01.2018 10:00 - 06.01.2018 10:15,15403,14513
06.01.2018 10:15 - 06.01.2018 10:30,15520,14637
06.01.2018 10:30 - 06.01.2018 10:45,15543,14676
06.01.2018 10:45 - 06.01.2018 11:00,15523,14727
06.01.2018 11:00 - 06.01.2018 11:15,15509,14747
06.01.2018 11:15 - 06.01.2018 11:30,15471,14725
06.01.2018 11:30 - 06.01.2018 11:45,15436,14762
06.01.2018 11:45 - 06.01.2018 12:00,15390,14775
06.01.2018 12:00 - 06.01.2018 12:15,15377,14691
06.01.2018 12:15 - 06.01.2018 12:30,15284,14732
06.01.2018 12:30 - 06.01.2018 12:45,15245,14639
06.01.2018 12:45 - 06.01.2018 13:00,15228,14597
06.01.2018 13:00 - 06.01.2018 13:15,15168,14529
06.01.2018 13:15 - 06.01.2018 13:30,15093,14509
06.01.2018 13:30 - 06.01.2018 13:45,14974,14453
06.01.2018 13:45 - 06.01.2018 14:00,14852,14455
06.01.2018 14:00 - 06.01.2018 14:15,14777,14420
06.01.2018 14:15 - 06.01.2018 14:30,14814,14374
06.01.2018 14:30 - 06.01.2018 14:45,14769,14374
06.01.2018 14:45 - 06.01.2018 15:00,14756,14321
06.01.2018 15:00 - 06.01.2018 15:15,14758,14274
06.01.2018 15:15 - 06.01.2018 15:30,14837,14236
06.01.2018 15:30 - 06.01.2018 15:45,14867,14275
06.01.2018 15:45 - 06.01.2018 16:00,14925,14339
06.01.2018 16:00 - 06.01.2018 16:15,14964,14351
06.01.2018 16:15 - 06.01.2018 16:30,15025,14528
06.01.2018 16:30 - 06.01.2018 16:45,15261,14707
06.01.2018 16:45 - 06.01.2018 17:00,15597,15145
06.01.2018 17:00 - 06.01.2018 17:15,15894,15457
06.01.2018 17:15 - 06.01.2018 17:30,15861,15690
06.01.2018 17:30 - 06.01.2018 17:45,16024,15799
06.01.2018 17:45 - 06.01.2018 18:00,16108,15789
06.01.2018 18:00 - 06.01.2018 18:15,15791,15471
06.01.2018 18:15 - 06.01.2018 18:30,15242,15313
06.01.2018 18:30 - 06.01.2018 18:45,15004,15213
06.01.2018 18:45 - 06.01.2018 19:00,14850,15093
06.01.2018 19:00 - 06.01.2018 19:15,14751,14934
06.01.2018 19:15 - 06.01.2018 19:30,14673,14783
06.01.2018 19:30 - 06.01.2018 19:45,14516,14646
06.01.2018 19:45 - 06.01.2018 20:00,14328,14549
06.01.2018 20:00 - 06.01.2018 20:15,14204,14368
06.01.2018 20:15 - 06.01.2018 20:30,14007,14201
06.01.2018 20:30 - 06.01.2018 20:45,13768,13963
06.01.2018 20:45 - 06.01.2018 21:00,13495,13719
06.01.2018 21:00 - 06.01.2018 21:15,13296,13490
06.01.2018 21:15 - 06.01.2018 21:30,13170,13364
06.01.2018 21:30 - 06.01.2018 21:45,13037,13218
06.01.2018 21:45 - 06.01.2018 22:00,12859,13057
06.01.2018 22:00 - 06.01.2018 22:15,12739,12854
06.01.2018 22:15 - 06.01.2018 22:30,12644,12721
06.01.2018 22:30 - 06.01.2018 22:45,12507,12518
06.01.2018 22:45 - 06.01.2018 23:00,12331,12333
06.01.2018 23:00 - 06.01.2018 23:15,12141,12168
06.01.2018 23:15 - 06.01.2018 23:30,12054,12039
06.01.2018 23:30 - 06.01.2018 23:45,11899,11857
06.01.2018 23:45 - 07.01.2018 00:00,11636,11699
07.01.2018 00:00 - 07.01.2018 00:15,11510,11498
07.01.2018 00:15 - 07.01.2018 00:30,11591,11427
07.01.2018 00:30 - 07.01.2018 00:45,11511,11312
07.01.2018 00:45 - 07.01.2018 01:00,11383,11238
07.01.2018 01:00 - 07.01.2018 01:15,11206,11069
07.01.2018 01:15 - 07.01.2018 01:30,11091,11002
07.01.2018 01:30 - 07.01.2018 01:45,10953,10791
07.01.2018 01:45 - 07.01.2018 02:00,10830,10723
07.01.2018 02:00 - 07.01.2018 02:15,10765,10615
07.01.2018 02:15 - 07.01.2018 02:30,10686,10478
07.01.2018 02:30 - 07.01.2018 02:45,10651,10399
07.01.2018 02:45 - 07.01.2018 03:00,10557,10354
07.01.2018 03:00 - 07.01.2018 03:15,10473,10341
07.01.2018 03:15 - 07.01.2018 03:30,10451,10286
07.01.2018 03:30 - 07.01.2018 03:45,10371,10255
07.01.2018 03:45 - 07.01.2018 04:00,10292,10244
07.01.2018 04:00 - 07.01.2018 04:15,10263,10224
07.01.2018 04:15 - 07.01.2018 04:30,10258,10257
07.01.2018 04:30 - 07.01.2018 04:45,10247,10235
07.01.2018 04:45 - 07.01.2018 05:00,10236,10260
07.01.2018 05:00 - 07.01.2018 05:15,10249,10303
07.01.2018 05:15 - 07.01.2018 05:30,10249,10325
07.01.2018 05:30 - 07.01.2018 05:45,10295,10396
07.01.2018 05:45 - 07.01.2018 06:00,10334,10429
07.01.2018 06:00 - 07.01.2018 06:15,10426,10573
07.01.2018 06:15 - 07.01.2018 06:30,10535,10601
07.01.2018 06:30 - 07.01.2018 06:45,10589,10755
07.01.2018 06:45 - 07.01.2018 07:00,10691,10813
07.01.2018 07:00 - 07.01.2018 07:15,10761,10988
07.01.2018 07:15 - 07.01.2018 07:30,10918,11109
07.01.2018 07:30 - 07.01.2018 07:45,11076,11289
07.01.2018 07:45 - 07.01.2018 08:00,11242,11506
07.01.2018 08:00 - 07.01.2018 08:15,11376,11730
07.01.2018 08:15 - 07.01.2018 08:30,11617,11929
07.01.2018 08:30 - 07.01.2018 08:45,11883,12063
07.01.2018 08:45 - 07.01.2018 09:00,12081,12209
07.01.2018 09:00 - 07.01.2018 09:15,12226,12369
07.01.2018 09:15 - 07.01.2018 09:30,12510,12568
07.01.2018 09:30 - 07.01.2018 09:45,12737,12690
07.01.2018 09:45 - 07.01.2018 10:00,12904,12764
07.01.2018 10:00 - 07.01.2018 10:15,13077,12897
07.01.2018 10:15 - 07.01.2018 10:30,13241,12984
07.01.2018 10:30 - 07.01.2018 10:45,13363,13050
07.01.2018 10:45 - 07.01.2018 11:00,13468,13050
07.01.2018 11:00 - 07.01.2018 11:15,13548,13106
07.01.2018 11:15 - 07.01.2018 11:30,13584,13080
07.01.2018 11:30 - 07.01.2018 11:45,13629,13104
07.01.2018 11:45 - 07.01.2018 12:00,13739,13148
07.01.2018 12:00 - 07.01.2018 12:15,13869,13205
07.01.2018 12:15 - 07.01.2018 12:30,13928,13218
07.01.2018 12:30 - 07.01.2018 12:45,13937,13213
07.01.2018 12:45 - 07.01.2018 13:00,13921,13205
07.01.2018 13:00 - 07.01.2018 13:15,13930,13180
07.01.2018 13:15 - 07.01.2018 13:30,13890,13113
07.01.2018 13:30 - 07.01.2018 13:45,13867,13117
07.01.2018 13:45 - 07.01.2018 14:00,13851,13053
07.01.2018 14:00 - 07.01.2018 14:15,13876,13099
07.01.2018 14:15 - 07.01.2018 14:30,13917,13078
07.01.2018 14:30 - 07.01.2018 14:45,13919,13117
07.01.2018 14:45 - 07.01.2018 15:00,13930,13193
07.01.2018 15:00 - 07.01.2018 15:15,13946,13227
07.01.2018 15:15 - 07.01.2018 15:30,13948,13259
07.01.2018 15:30 - 07.01.2018 15:45,13978,13396
07.01.2018 15:45 - 07.01.2018 16:00,13989,13470
07.01.2018 16:00 - 07.01.2018 16:15,13981,13524
07.01.2018 16:15 - 07.01.2018 16:30,14020,13717
07.01.2018 16:30 - 07.01.2018 16:45,14207,13935
07.01.2018 16:45 - 07.01.2018 17:00,14508,14363
07.01.2018 17:00 - 07.01.2018 17:15,14772,14932
07.01.2018 17:15 - 07.01.2018 17:30,14743,15423
07.01.2018 17:30 - 07.01.2018 17:45,14813,15624
07.01.2018 17:45 - 07.01.2018 18:00,14892,15733
07.01.2018 18:00 - 07.01.2018 18:15,14717,15505
07.01.2018 18:15 - 07.01.2018 18:30,14198,15339
07.01.2018 18:30 - 07.01.2018 18:45,14023,15181
07.01.2018 18:45 - 07.01.2018 19:00,13888,15104
07.01.2018 19:00 - 07.01.2018 19:15,13800,15053
07.01.2018 19:15 - 07.01.2018 19:30,13722,14962
07.01.2018 19:30 - 07.01.2018 19:45,13589,14856
07.01.2018 19:45 - 07.01.2018 20:00,13414,14793
07.01.2018 20:00 - 07.01.2018 20:15,13297,14582
07.01.2018 20:15 - 07.01.2018 20:30,13206,14374
07.01.2018 20:30 - 07.01.2018 20:45,12993,14130
07.01.2018 20:45 - 07.01.2018 21:00,12737,13934
07.01.2018 21:00 - 07.01.2018 21:15,12559,13722
07.01.2018 21:15 - 07.01.2018 21:30,12541,13658
07.01.2018 21:30 - 07.01.2018 21:45,12433,13473
07.01.2018 21:45 - 07.01.2018 22:00,12284,13311
07.01.2018 22:00 - 07.01.2018 22:15,12127,13061
07.01.2018 22:15 - 07.01.2018 22:30,11890,12808
07.01.2018 22:30 - 07.01.2018 22:45,11710,12614
07.01.2018 22:45 - 07.01.2018 23:00,11427,12362
07.01.2018 23:00 - 07.01.2018 23:15,11256,12103
07.01.2018 23:15 - 07.01.2018 23:30,11204,11838
07.01.2018 23:30 - 07.01.2018 23:45,11035,11675
07.01.2018 23:45 - 08.01.2018 00:00,10868,11460
08.01.2018 00:00 - 08.01.2018 00:15,10687,11335
08.01.2018 00:15 - 08.01.2018 00:30,10667,11297
08.01.2018 00:30 - 08.01.2018 00:45,10650,11217
08.01.2018 00:45 - 08.01.2018 01:00,10627,11103
08.01.2018 01:00 - 08.01.2018 01:15,10470,10967
08.01.2018 01:15 - 08.01.2018 01:30,10291,10899
08.01.2018 01:30 - 08.01.2018 01:45,10146,10844
08.01.2018 01:45 - 08.01.2018 02:00,10002,10777
08.01.2018 02:00 - 08.01.2018 02:15,9890,10736
08.01.2018 02:15 - 08.01.2018 02:30,9840,10681
08.01.2018 02:30 - 08.01.2018 02:45,9715,10656
08.01.2018 02:45 - 08.01.2018 03:00,9634,10663
08.01.2018 03:00 - 08.01.2018 03:15,9560,10652
08.01.2018 03:15 - 08.01.2018 03:30,9534,10638
08.01.2018 03:30 - 08.01.2018 03:45,9490,10674
08.01.2018 03:45 - 08.01.2018 04:00,9400,10693
08.01.2018 04:00 - 08.01.2018 04:15,9343,10774
08.01.2018 04:15 - 08.01.2018 04:30,9338,10813
08.01.2018 04:30 - 08.01.2018 04:45,9334,10867
08.01.2018 04:45 - 08.01.2018 05:00,9381,10921
08.01.2018 05:00 - 08.01.2018 05:15,9435,11087
08.01.2018 05:15 - 08.01.2018 05:30,9545,11283
08.01.2018 05:30 - 08.01.2018 05:45,9682,11507
08.01.2018 05:45 - 08.01.2018 06:00,9838,11798
08.01.2018 06:00 - 08.01.2018 06:15,10052,12328
08.01.2018 06:15 - 08.01.2018 06:30,10371,12819
08.01.2018 06:30 - 08.01.2018 06:45,10671,13336
08.01.2018 06:45 - 08.01.2018 07:00,10907,13862
08.01.2018 07:00 - 08.01.2018 07:15,11158,14616
08.01.2018 07:15 - 08.01.2018 07:30,11548,15234
08.01.2018 07:30 - 08.01.2018 07:45,11888,15851
08.01.2018 07:45 - 08.01.2018 08:00,12299,16327
08.01.2018 08:00 - 08.01.2018 08:15,12574,16834
08.01.2018 08:15 - 08.01.2018 08:30,12876,17088
08.01.2018 08:30 - 08.01.2018 08:45,13060,17177
08.01.2018 08:45 - 08.01.2018 09:00,13162,17280
08.01.2018 09:00 - 08.01.2018 09:15,13330,17368
08.01.2018 09:15 - 08.01.2018 09:30,13541,17371
08.01.2018 09:30 - 08.01.2018 09:45,13750,17337
08.01.2018 09:45 - 08.01.2018 10:00,13894,17283
08.01.2018 10:00 - 08.01.2018 10:15,14005,17276
08.01.2018 10:15 - 08.01.2018 10:30,14077,17232
08.01.2018 10:30 - 08.01.2018 10:45,14147,17146
08.01.2018 10:45 - 08.01.2018 11:00,14182,17023
08.01.2018 11:00 - 08.01.2018 11:15,14175,16942
08.01.2018 11:15 - 08.01.2018 11:30,14157,17032
08.01.2018 11:30 - 08.01.2018 11:45,14206,16927
08.01.2018 11:45 - 08.01.2018 12:00,14229,16874
08.01.2018 12:00 - 08.01.2018 12:15,14241,16872
08.01.2018 12:15 - 08.01.2018 12:30,14288,16721
08.01.2018 12:30 - 08.01.2018 12:45,14363,16600
08.01.2018 12:45 - 08.01.2018 13:00,14328,16616
08.01.2018 13:00 - 08.01.2018 13:15,14451,16696
08.01.2018 13:15 - 08.01.2018 13:30,14505,16728
08.01.2018 13:30 - 08.01.2018 13:45,14548,16794
08.01.2018 13:45 - 08.01.2018 14:00,14593,16865
08.01.2018 14:00 - 08.01.2018 14:15,14667,16813
08.01.2018 14:15 - 08.01.2018 14:30,14839,16886
08.01.2018 14:30 - 08.01.2018 14:45,14944,16852
08.01.2018 14:45 - 08.01.2018 15:00,14976,16867
08.01.2018 15:00 - 08.01.2018 15:15,15111,16819
08.01.2018 15:15 - 08.01.2018 15:30,15202,16927
08.01.2018 15:30 - 08.01.2018 15:45,15258,17013
08.01.2018 15:45 - 08.01.2018 16:00,15376,17089
08.01.2018 16:00 - 08.01.2018 16:15,15359,17139
08.01.2018 16:15 - 08.01.2018 16:30,15435,17206
08.01.2018 16:30 - 08.01.2018 16:45,15719,17308
08.01.2018 16:45 - 08.01.2018 17:00,16063,17705
08.01.2018 17:00 - 08.01.2018 17:15,16330,18070
08.01.2018 17:15 - 08.01.2018 17:30,16272,18508
08.01.2018 17:30 - 08.01.2018 17:45,16440,18564
08.01.2018 17:45 - 08.01.2018 18:00,16534,18517
08.01.2018 18:00 - 08.01.2018 18:15,16382,18002
08.01.2018 18:15 - 08.01.2018 18:30,15943,17713
08.01.2018 18:30 - 08.01.2018 18:45,15782,17593
08.01.2018 18:45 - 08.01.2018 19:00,15710,17537
08.01.2018 19:00 - 08.01.2018 19:15,15652,17296
08.01.2018 19:15 - 08.01.2018 19:30,15530,17211
08.01.2018 19:30 - 08.01.2018 19:45,15379,16955
08.01.2018 19:45 - 08.01.2018 20:00,15254,16863
08.01.2018 20:00 - 08.01.2018 20:15,15112,16516
08.01.2018 20:15 - 08.01.2018 20:30,14998,16204
08.01.2018 20:30 - 08.01.2018 20:45,14844,15914
08.01.2018 20:45 - 08.01.2018 21:00,14661,15692
08.01.2018 21:00 - 08.01.2018 21:15,14495,15417
08.01.2018 21:15 - 08.01.2018 21:30,14378,15147
08.01.2018 21:30 - 08.01.2018 21:45,14233,14890
08.01.2018 21:45 - 08.01.2018 22:00,14010,14625
08.01.2018 22:00 - 08.01.2018 22:15,13787,14307
08.01.2018 22:15 - 08.01.2018 22:30,13562,14042
08.01.2018 22:30 - 08.01.2018 22:45,13263,13711
08.01.2018 22:45 - 08.01.2018 23:00,12947,13422
08.01.2018 23:00 - 08.01.2018 23:15,12760,13201
08.01.2018 23:15 - 08.01.2018 23:30,12610,12975
08.01.2018 23:30 - 08.01.2018 23:45,12445,12745
08.01.2018 23:45 - 09.01.2018 00:00,12070,12462
09.01.2018 00:00 - 09.01.2018 00:15,11844,12206
09.01.2018 00:15 - 09.01.2018 00:30,11754,12082
09.01.2018 00:30 - 09.01.2018 00:45,11674,11981
09.01.2018 00:45 - 09.01.2018 01:00,11547,11828
09.01.2018 01:00 - 09.01.2018 01:15,11313,11675
09.01.2018 01:15 - 09.01.2018 01:30,11150,11532
09.01.2018 01:30 - 09.01.2018 01:45,11066,11456
09.01.2018 01:45 - 09.01.2018 02:00,10936,11416
09.01.2018 02:00 - 09.01.2018 02:15,10781,11360
09.01.2018 02:15 - 09.01.2018 02:30,10691,11287
09.01.2018 02:30 - 09.01.2018 02:45,10622,11221
09.01.2018 02:45 - 09.01.2018 03:00,10556,11169
09.01.2018 03:00 - 09.01.2018 03:15,10505,11190
09.01.2018 03:15 - 09.01.2018 03:30,10496,11188
09.01.2018 03:30 - 09.01.2018 03:45,10443,11156
09.01.2018 03:45 - 09.01.2018 04:00,10432,11160
09.01.2018 04:00 - 09.01.2018 04:15,10395,11189
09.01.2018 04:15 - 09.01.2018 04:30,10418,11235
09.01.2018 04:30 - 09.01.2018 04:45,10481,11303
09.01.2018 04:45 - 09.01.2018 05:00,10522,11314
09.01.2018 05:00 - 09.01.2018 05:15,10605,11422
09.01.2018 05:15 - 09.01.2018 05:30,10739,11662
09.01.2018 05:30 - 09.01.2018 05:45,10917,11874
09.01.2018 05:45 - 09.01.2018 06:00,11105,12083
09.01.2018 06:00 - 09.01.2018 06:15,11380,12570
09.01.2018 06:15 - 09.01.2018 06:30,11868,12933
09.01.2018 06:30 - 09.01.2018 06:45,12182,13387
09.01.2018 06:45 - 09.01.2018 07:00,12634,13958
09.01.2018 07:00 - 09.01.2018 07:15,12943,14787
09.01.2018 07:15 - 09.01.2018 07:30,13417,15438
09.01.2018 07:30 - 09.01.2018 07:45,14052,15977
09.01.2018 07:45 - 09.01.2018 08:00,14564,16464
09.01.2018 08:00 - 09.01.2018 08:15,14958,16843
09.01.2018 08:15 - 09.01.2018 08:30,15250,17108
09.01.2018 08:30 - 09.01.2018 08:45,15563,17243
09.01.2018 08:45 - 09.01.2018 09:00,15749,17324
09.01.2018 09:00 - 09.01.2018 09:15,15864,17452
09.01.2018 09:15 - 09.01.2018 09:30,16036,17538
09.01.2018 09:30 - 09.01.2018 09:45,16271,17495
09.01.2018 09:45 - 09.01.2018 10:00,16431,17502
09.01.2018 10:00 - 09.01.2018 10:15,16534,17497
09.01.2018 10:15 - 09.01.2018 10:30,16582,17482
09.01.2018 10:30 - 09.01.2018 10:45,16605,17486
09.01.2018 10:45 - 09.01.2018 11:00,16621,17457
09.01.2018 11:00 - 09.01.2018 11:15,16597,17377
09.01.2018 11:15 - 09.01.2018 11:30,16571,17315
09.01.2018 11:30 - 09.01.2018 11:45,16521,17231
09.01.2018 11:45 - 09.01.2018 12:00,16548,17233
09.01.2018 12:00 - 09.01.2018 12:15,16548,17133
09.01.2018 12:15 - 09.01.2018 12:30,16526,17043
09.01.2018 12:30 - 09.01.2018 12:45,16474,16923
09.01.2018 12:45 - 09.01.2018 13:00,16380,16903
09.01.2018 13:00 - 09.01.2018 13:15,16358,16987
09.01.2018 13:15 - 09.01.2018 13:30,16407,17054
09.01.2018 13:30 - 09.01.2018 13:45,16460,17076
09.01.2018 13:45 - 09.01.2018 14:00,16499,17084
09.01.2018 14:00 - 09.01.2018 14:15,16493,17069
09.01.2018 14:15 - 09.01.2018 14:30,16488,17059
09.01.2018 14:30 - 09.01.2018 14:45,16526,17077
09.01.2018 14:45 - 09.01.2018 15:00,16515,17079
09.01.2018 15:00 - 09.01.2018 15:15,16518,17085
09.01.2018 15:15 - 09.01.2018 15:30,16525,17100
09.01.2018 15:30 - 09.01.2018 15:45,16554,17184
09.01.2018 15:45 - 09.01.2018 16:00,16619,17263
09.01.2018 16:00 - 09.01.2018 16:15,16661,17233
09.01.2018 16:15 - 09.01.2018 16:30,16600,17330
09.01.2018 16:30 - 09.01.2018 16:45,16756,17500
09.01.2018 16:45 - 09.01.2018 17:00,17018,17896
09.01.2018 17:00 - 09.01.2018 17:15,17419,18073
09.01.2018 17:15 - 09.01.2018 17:30,17529,18292
09.01.2018 17:30 - 09.01.2018 17:45,17662,18318
09.01.2018 17:45 - 09.01.2018 18:00,17658,18238
09.01.2018 18:00 - 09.01.2018 18:15,17436,17750
09.01.2018 18:15 - 09.01.2018 18:30,16695,17449
09.01.2018 18:30 - 09.01.2018 18:45,16374,17359
09.01.2018 18:45 - 09.01.2018 19:00,16211,17200
09.01.2018 19:00 - 09.01.2018 19:15,16066,17019
09.01.2018 19:15 - 09.01.2018 19:30,15765,16929
09.01.2018 19:30 - 09.01.2018 19:45,15554,16696
09.01.2018 19:45 - 09.01.2018 20:00,15421,16514
09.01.2018 20:00 - 09.01.2018 20:15,15327,16212
09.01.2018 20:15 - 09.01.2018 20:30,15194,15919
09.01.2018 20:30 - 09.01.2018 20:45,15049,15699
09.01.2018 20:45 - 09.01.2018 21:00,14874,15468
09.01.2018 21:00 - 09.01.2018 21:15,14646,15120
09.01.2018 21:15 - 09.01.2018 21:30,14605,14918
09.01.2018 21:30 - 09.01.2018 21:45,14473,14622
09.01.2018 21:45 - 09.01.2018 22:00,14279,14335
09.01.2018 22:00 - 09.01.2018 22:15,14057,14002
09.01.2018 22:15 - 09.01.2018 22:30,13748,13718
09.01.2018 22:30 - 09.01.2018 22:45,13501,13436
09.01.2018 22:45 - 09.01.2018 23:00,13129,13129
09.01.2018 23:00 - 09.01.2018 23:15,12843,12926
09.01.2018 23:15 - 09.01.2018 23:30,12687,12729
09.01.2018 23:30 - 09.01.2018 23:45,12474,12353
09.01.2018 23:45 - 10.01.2018 00:00,12164,12101
10.01.2018 00:00 - 10.01.2018 00:15,11934,11967
10.01.2018 00:15 - 10.01.2018 00:30,11955,11778
10.01.2018 00:30 - 10.01.2018 00:45,11876,11669
10.01.2018 00:45 - 10.01.2018 01:00,11702,11569
10.01.2018 01:00 - 10.01.2018 01:15,11494,11406
10.01.2018 01:15 - 10.01.2018 01:30,11266,11267
10.01.2018 01:30 - 10.01.2018 01:45,11153,11172
10.01.2018 01:45 - 10.01.2018 02:00,11003,11079
10.01.2018 02:00 - 10.01.2018 02:15,10836,11050
10.01.2018 02:15 - 10.01.2018 02:30,10702,10958
10.01.2018 02:30 - 10.01.2018 02:45,10609,10983
10.01.2018 02:45 - 10.01.2018 03:00,10515,10900
10.01.2018 03:00 - 10.01.2018 03:15,10516,10880
10.01.2018 03:15 - 10.01.2018 03:30,10566,10847
10.01.2018 03:30 - 10.01.2018 03:45,10551,10800
10.01.2018 03:45 - 10.01.2018 04:00,10520,10790
10.01.2018 04:00 - 10.01.2018 04:15,10517,10801
10.01.2018 04:15 - 10.01.2018 04:30,10555,10822
10.01.2018 04:30 - 10.01.2018 04:45,10575,10893
10.01.2018 04:45 - 10.01.2018 05:00,10613,10948
10.01.2018 05:00 - 10.01.2018 05:15,10713,11138
10.01.2018 05:15 - 10.01.2018 05:30,10928,11308
10.01.2018 05:30 - 10.01.2018 05:45,11233,11542
10.01.2018 05:45 - 10.01.2018 06:00,11487,11823
10.01.2018 06:00 - 10.01.2018 06:15,11811,12262
10.01.2018 06:15 - 10.01.2018 06:30,12306,12729
10.01.2018 06:30 - 10.01.2018 06:45,12837,13182
10.01.2018 06:45 - 10.01.2018 07:00,13237,13642
10.01.2018 07:00 - 10.01.2018 07:15,13669,14375
10.01.2018 07:15 - 10.01.2018 07:30,14259,14974
10.01.2018 07:30 - 10.01.2018 07:45,14870,15531
10.01.2018 07:45 - 10.01.2018 08:00,15406,16033
10.01.2018 08:00 - 10.01.2018 08:15,15895,16439
10.01.2018 08:15 - 10.01.2018 08:30,16397,16735
10.01.2018 08:30 - 10.01.2018 08:45,16804,16893
10.01.2018 08:45 - 10.01.2018 09:00,17026,17027
10.01.2018 09:00 - 10.01.2018 09:15,17264,17193
10.01.2018 09:15 - 10.01.2018 09:30,17495,17257
10.01.2018 09:30 - 10.01.2018 09:45,17729,17298
10.01.2018 09:45 - 10.01.2018 10:00,17840,17344
10.01.2018 10:00 - 10.01.2018 10:15,17955,17369
10.01.2018 10:15 - 10.01.2018 10:30,18095,17373
10.01.2018 10:30 - 10.01.2018 10:45,18198,17452
10.01.2018 10:45 - 10.01.2018 11:00,18237,17467
10.01.2018 11:00 - 10.01.2018 11:15,18259,17473
10.01.2018 11:15 - 10.01.2018 11:30,18442,17453
10.01.2018 11:30 - 10.01.2018 11:45,18425,17442
10.01.2018 11:45 - 10.01.2018 12:00,18404,17413
10.01.2018 12:00 - 10.01.2018 12:15,18384,17330
10.01.2018 12:15 - 10.01.2018 12:30,18322,17236
10.01.2018 12:30 - 10.01.2018 12:45,18230,17120
10.01.2018 12:45 - 10.01.2018 13:00,18166,17098
10.01.2018 13:00 - 10.01.2018 13:15,18206,17176
10.01.2018 13:15 - 10.01.2018 13:30,18271,17227
10.01.2018 13:30 - 10.01.2018 13:45,18268,17210
10.01.2018 13:45 - 10.01.2018 14:00,18247,17182
10.01.2018 14:00 - 10.01.2018 14:15,18225,17057
10.01.2018 14:15 - 10.01.2018 14:30,18217,17016
10.01.2018 14:30 - 10.01.2018 14:45,18179,17104
